Марка;Ссылка;цена в гривнах;Цена в $;Город
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1796944.html;893000;32905;Херсон
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1778821.html;962126;35470;Херсон
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1697495.html;699900;25790;Херсон
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1833279.html;786450;28979;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1818938.html;971933;35820;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1819610.html;750000;27636;Киев
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1758009.html;942883;34743;Киев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1723498.html;1050000;38710;Херсон
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1723270.html;699900;25786;Херсон
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1760800.html;892653;32892;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1758006.html;873180;32175;Киев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1760794.html;685902;25279;Киев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1788348.html;1091475;40239;Киев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1821604.html;1121175;41334;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1833162.html;733180;27016;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1835853.html;1058003;39024;Киев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1752356.html;865904;31893;Киев
Subaru Outback 2019;https://auto.ria.com/newauto/auto-subaru-outback-1788389.html;940580;34659;Киев
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1836285.html;942883;34743;Киев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834150.html;790020;29125;Киев
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1835227.html;893000;32905;Днепр (Днепропетровск)
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1817201.html;722265;26614;Одесса
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1836302.html;1038980;38284;Одесса
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1835626.html;685902;25279;Днепр (Днепропетровск)
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1834260.html;893000;32900;Днепр (Днепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1810680.html;1058003;38992;Одесса
Subaru Outback 2019;https://auto.ria.com/newauto/auto-subaru-outback-1817248.html;940580;34647;Одесса
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1810678.html;794290;29273;Одесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1820385.html;873180;32175;Днепр (Днепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1817194.html;971933;35778;Одесса
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836293.html;790020;29098;Одесса
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1835211.html;943000;34742;Днепр (Днепропетровск)
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1819420.html;943000;34754;Днепр (Днепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1820386.html;873180;32170;Днепр (Днепропетровск)
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836296.html;865904;31907;Одесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1836292.html;873180;32175;Одесса
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1836589.html;962126;35470;Одесса
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1836304.html;1091475;40237;Одесса
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1836308.html;1065488;39300;Одесса
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1836299.html;891891;32850;Одесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1819418.html;873180;32161;Днепр (Днепропетровск)
Subaru Forester 2019;https://auto.ria.com/newauto/auto-subaru-forester-1834259.html;855000;31505;Днепр (Днепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1828427.html;1058003;38946;Киев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1836800.html;722265;26550;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1835323.html;750000;27636;Днепр (Днепропетровск)
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1828715.html;750000;27636;Одесса
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1833123.html;971933;35816;Киев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834629.html;865904;31830;Киев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1834151.html;722265;26615;Киев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1760795.html;786450;28981;Киев
Subaru XV 2019;https://auto.ria.com/newauto/auto-subaru-xv-1834154.html;794290;29270;Киев
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834153.html;865904;31908;Киев
Subaru Forester 2020;https://auto.ria.com/newauto/auto-subaru-forester-1763283.html;1058003;39005;Днепр (Днепропетровск)
Subaru XV 2020;https://auto.ria.com/newauto/auto-subaru-xv-1834628.html;790020;29040;Киев
Subaru Outback 2020;https://auto.ria.com/newauto/auto-subaru-outback-1834164.html;1065488;39263;Киев
